t,T1,Q1
608,49.097,1.0
609,49.451,1.0
610,49.58,1.0
611,49.741,1.0
612,49.612,1.0
613,49.999,1.0
614,49.999,1.0
615,50.031,1.0
616,50.063,1.0
617,50.321,1.0
618,50.257,1.0
619,50.547,1.0
620,50.772,1.0
621,50.708,1.0
622,50.837,1.0
623,50.934,1.0
624,51.191,1.0
625,50.547,0.0
626,50.644,0.0
627,50.772,0.0
628,50.869,0.0
629,50.869,0.0
630,51.159,0.0
631,51.159,0.0
632,51.191,0.0
633,51.224,0.0
634,51.353,0.0
635,51.481,0.0
636,51.514,0.0
637,51.514,0.0
638,51.514,0.0
639,51.514,0.0
640,51.514,0.0
641,51.514,0.0
642,51.514,0.0
643,51.385,0.0
644,51.288,0.0
645,51.191,0.0
646,51.191,0.0
647,51.191,0.0
648,51.159,0.0
649,50.901,0.0
650,50.869,0.0
651,50.772,0.0
652,50.869,0.0
653,50.74,0.0
654,50.611,0.0
655,50.547,0.0
656,50.482,0.0
657,50.321,0.0
658,50.225,0.0
659,50.063,0.0
660,49.87,0.0
661,49.87,0.0
662,49.645,0.0
663,49.548,0.0
664,49.29,0.0
665,49.226,0.0
666,49.032,0.0
667,48.936,0.0
668,48.581,0.0
669,48.355,0.0
670,48.42,0.0
671,48.291,0.0
672,48.194,0.0
673,47.969,0.0
674,47.904,0.0
675,47.679,0.0
676,47.646,0.0
677,47.356,0.0
678,47.324,0.0
679,47.131,0.0
680,47.002,0.0
681,46.744,0.0
682,46.68,0.0
683,46.357,0.0
684,46.325,0.0
685,46.067,0.0
686,46.003,0.0
687,45.745,0.0
688,45.713,0.0
689,45.391,0.0
690,45.262,0.0
691,45.068,0.0
692,44.907,0.0
693,44.746,0.0
694,44.714,0.0
695,44.424,0.0
696,44.392,0.0
697,44.102,0.0
698,44.102,0.0
699,43.908,0.0
700,43.779,0.0
701,43.554,0.0
702,43.457,0.0
703,43.199,0.0
704,43.199,0.0
705,42.813,0.0
706,42.78,0.0
707,42.716,0.0
708,42.587,0.0
709,42.49,0.0
710,42.458,0.0
711,42.168,0.0
712,41.975,0.0
713,41.878,0.0
714,41.588,0.0
715,41.523,0.0
716,41.266,0.0
717,41.201,0.0
718,40.879,0.0
719,40.879,0.0
720,40.621,0.0
721,40.557,0.0
722,40.363,0.0
723,40.234,0.0
724,40.105,0.0
725,39.912,0.0
726,39.88,0.0
727,39.622,0.0
728,39.59,0.0
729,39.268,0.0
730,39.268,0.0
731,39.139,0.0
732,38.945,0.0
733,38.913,0.0
734,38.72,0.0
735,38.623,0.0
736,38.365,0.0
737,38.301,0.0
738,38.011,0.0
739,37.979,0.0
740,37.688,0.0
741,37.656,0.0
742,37.624,0.0
743,37.431,0.0
744,37.334,0.0
745,37.237,0.0
746,37.108,0.0
747,37.012,0.0
748,36.883,0.0
749,36.722,0.0
750,36.657,0.0
751,36.496,0.0
752,36.367,0.0
753,36.367,0.0
754,36.174,0.0
755,36.077,0.0
756,36.045,0.0
757,35.916,0.0
758,35.69,0.0
759,35.723,0.0
760,35.465,0.0
761,35.465,0.0
762,35.304,0.0
763,35.078,0.0
764,35.078,0.0
765,34.82,0.0
766,34.756,0.0
767,34.563,0.0
768,34.498,0.0
769,34.434,0.0
770,34.369,0.0
771,34.144,0.0
772,34.111,0.0
773,33.886,0.0
774,33.789,0.0
775,33.757,0.0
776,33.531,0.0
777,33.531,0.0
778,33.467,0.0
779,33.306,0.0
780,33.112,0.0
781,33.145,0.0
782,32.983,0.0
783,32.854,0.0
784,32.822,0.0
785,32.822,0.0
786,32.532,0.0
787,32.5,0.0
788,32.564,0.0
789,32.371,0.0
790,32.242,0.0
791,32.146,0.0
792,31.984,0.0
793,31.855,0.0
794,31.855,0.0
795,31.63,0.0
796,31.565,0.0
797,31.533,0.0
798,31.404,0.0
799,31.211,0.0
800,31.211,0.0
801,31.146,0.0
802,30.953,0.0
803,30.889,0.0
804,30.889,0.0
805,30.76,0.0
806,30.566,0.0
807,30.631,0.0
808,30.566,0.0
809,30.276,0.0
810,30.244,0.0
811,30.115,0.0
812,29.922,0.0
813,29.954,0.0
814,29.922,0.0
815,29.729,0.0
816,29.632,0.0
817,29.6,0.0
818,29.6,0.0
819,29.567,0.0
820,29.406,0.0
821,29.31,0.0
822,29.277,0.0
823,29.245,0.0
824,29.084,0.0
825,29.02,0.0
826,28.955,0.0
827,28.826,0.0
828,28.762,0.0
829,28.633,0.0
830,28.601,0.0
831,28.568,0.0
832,28.439,0.0
833,28.407,0.0
834,28.375,0.0
835,28.311,0.0
836,28.246,0.0
837,28.246,0.0
838,28.053,0.0
839,27.988,0.0
840,27.988,0.0
841,27.988,0.0
842,27.956,0.0
843,27.859,0.0
844,27.698,0.0
845,27.666,0.0
846,27.698,0.0
847,27.473,0.0
848,27.376,0.0
849,27.344,0.0
850,27.344,0.0
851,27.344,0.0
852,27.247,0.0
853,27.215,0.0
854,27.021,0.0
855,27.021,0.0
856,27.054,0.0
857,26.925,0.0
858,26.957,0.0
859,26.699,0.0
860,26.699,0.0
861,26.699,0.0
862,26.699,0.0
863,26.667,0.0
864,26.441,0.0
865,26.474,0.0
866,26.409,0.0
867,26.377,0.0
868,26.377,0.0
869,26.28,0.0
870,26.345,0.0
871,26.151,0.0
872,26.055,0.0
873,26.055,0.0
874,26.055,0.0
875,26.055,0.0
876,25.99,0.0
877,25.861,0.0
878,25.861,0.0
879,26.216,1.0
880,26.216,1.0
881,26.022,1.0
882,26.119,1.0
883,26.119,1.0
884,25.861,1.0
885,26.119,1.0
886,25.99,1.0
887,25.829,1.0
888,26.055,1.0
889,25.894,1.0
890,26.087,1.0
891,26.022,1.0
892,26.087,1.0
893,26.248,1.0
894,26.119,1.0
895,26.313,1.0
896,26.538,1.0
897,26.474,1.0
898,26.506,1.0
899,26.796,1.0
900,26.925,1.0
901,26.893,1.0
902,27.118,1.0
903,27.247,1.0
904,27.279,1.0
905,27.602,1.0
906,27.666,1.0
907,27.795,1.0
908,28.021,1.0
909,28.149,1.0
910,28.407,1.0
911,28.601,1.0
912,28.697,1.0
913,28.826,1.0
914,29.245,1.0
915,29.342,1.0
916,29.406,1.0
917,29.761,1.0
918,29.89,1.0
919,30.18,1.0
920,30.438,1.0
921,30.438,1.0
922,30.824,1.0
923,31.082,1.0
924,30.921,1.0
925,31.404,1.0
926,31.727,1.0
927,31.727,1.0
928,31.952,1.0
929,32.049,1.0
930,32.339,1.0
931,32.5,1.0
932,32.887,1.0
933,33.048,1.0
934,33.273,1.0
935,33.435,1.0
936,33.725,1.0
937,33.982,1.0
938,34.015,1.0
939,34.111,1.0
940,34.272,1.0
941,34.53,1.0
942,34.691,1.0
943,34.885,1.0
944,35.336,1.0
945,35.304,1.0
946,35.497,1.0
947,35.626,1.0
948,35.723,1.0
949,35.884,1.0
950,36.271,1.0
951,36.593,1.0
952,36.657,1.0
953,36.883,1.0
954,37.044,1.0
955,37.334,1.0
956,37.688,1.0
957,37.753,1.0
958,38.075,1.0
959,38.172,1.0
960,38.301,1.0
961,38.526,1.0
962,38.849,1.0
963,38.945,1.0
964,39.268,1.0
965,39.525,1.0
966,39.654,1.0
967,39.944,1.0
968,40.267,1.0
969,40.492,1.0
970,40.653,1.0
971,41.008,1.0
972,41.104,1.0
973,41.266,1.0
974,41.233,1.0
975,41.427,1.0
976,41.717,1.0
977,41.813,1.0
978,41.975,1.0
979,42.104,1.0
980,42.2,1.0
981,42.49,1.0
982,42.813,1.0
983,43.103,1.0
984,43.231,1.0
985,43.328,1.0
986,43.586,1.0
987,43.747,1.0
988,43.683,1.0
989,43.876,1.0
990,43.908,1.0
991,44.23,1.0
992,44.327,1.0
993,44.424,1.0
994,44.359,1.0
995,44.456,1.0
996,44.682,1.0
997,44.617,1.0
998,44.843,1.0
999,44.972,1.0
1000,45.068,1.0
1001,45.004,1.0
1002,45.197,1.0
1003,45.262,1.0
1004,45.229,1.0
1005,45.358,1.0
1006,45.584,1.0
1007,45.648,1.0
1008,45.745,1.0
1009,45.971,1.0
1010,46.003,1.0
1011,45.971,1.0
1012,45.938,1.0
1013,46.164,1.0
1014,46.261,1.0
1015,46.39,1.0
1016,46.325,1.0
1017,46.647,1.0
1018,46.905,1.0
1019,46.809,1.0
1020,46.905,1.0
1021,47.195,1.0
1022,47.324,1.0
1023,47.292,1.0
1024,47.614,1.0
1025,47.679,1.0
1026,47.711,1.0
1027,47.904,1.0
1028,48.033,1.0
1029,48.033,1.0
1030,47.711,0.0
1031,47.969,0.0
1032,47.969,0.0
1033,48.033,0.0
1034,48.291,0.0
1035,48.291,0.0
1036,48.517,0.0
1037,48.613,0.0
1038,48.613,0.0
1039,48.613,0.0
1040,48.646,0.0
1041,48.936,0.0
1042,48.936,0.0
1043,48.936,0.0
1044,48.936,0.0
1045,48.936,0.0
1046,48.936,0.0
1047,48.936,0.0
1048,48.968,0.0
1049,48.968,0.0
1050,48.936,0.0
1051,48.936,0.0
1052,48.903,0.0
1053,48.742,0.0
1054,48.646,0.0
1055,48.613,0.0
1056,48.613,0.0
1057,48.484,0.0
1058,48.291,0.0
1059,48.033,0.0
1060,48.001,0.0
1061,47.969,0.0
1062,47.969,0.0
1063,47.679,0.0
1064,47.679,0.0
1065,47.614,0.0
1066,47.485,0.0
1067,47.324,0.0
1068,47.324,0.0
1069,47.26,0.0
1070,47.002,0.0
1071,46.97,0.0
1072,46.809,0.0
1073,46.68,0.0
1074,46.551,0.0
1075,46.39,0.0
1076,46.293,0.0
1077,46.067,0.0
1078,46.035,0.0
1079,45.713,0.0
1080,45.713,0.0
1081,45.487,0.0
1082,45.391,0.0
1083,45.133,0.0
1084,45.068,0.0
1085,44.746,0.0
1086,44.746,0.0
1087,44.456,0.0
1088,44.424,0.0
1089,44.23,0.0
1090,44.102,0.0
1091,44.005,0.0
1092,43.779,0.0
1093,43.618,0.0
1094,43.457,0.0
1095,43.264,0.0
1096,43.135,0.0
1097,42.941,0.0
1098,42.813,0.0
1099,42.716,0.0
1100,42.49,0.0
1101,42.394,0.0
1102,42.168,0.0
1103,42.104,0.0
1104,41.846,0.0
1105,41.523,0.0
1106,41.523,0.0
1107,41.298,0.0
1108,41.201,0.0
1109,40.911,0.0
1110,40.847,0.0
1111,40.557,0.0
1112,40.428,0.0
1113,40.234,0.0
1114,40.041,0.0
1115,39.944,0.0
1116,39.654,0.0
1117,39.59,0.0
1118,39.332,0.0
1119,39.268,0.0
1120,38.978,0.0
1121,38.945,0.0
1122,38.655,0.0
1123,38.623,0.0
1124,38.333,0.0
1125,38.301,0.0
1126,38.301,0.0
1127,37.979,0.0
1128,37.979,0.0
1129,37.785,0.0
1130,37.688,0.0
1131,37.656,0.0
1132,37.398,0.0
1133,37.334,0.0
1134,37.302,0.0
1135,37.108,0.0
1136,37.012,0.0
1137,36.915,0.0
1138,36.689,0.0
1139,36.625,0.0
1140,36.367,0.0
1141,36.399,0.0
1142,36.174,0.0
1143,36.045,0.0
1144,35.948,0.0
1145,35.723,0.0
1146,35.723,0.0
1147,35.4,0.0
1148,35.4,0.0
1149,35.336,0.0
1150,35.078,0.0
1151,35.046,0.0
1152,34.788,0.0
1153,34.756,0.0
1154,34.563,0.0
1155,34.434,0.0
1156,34.337,0.0
1157,34.144,0.0
1158,34.111,0.0
1159,33.854,0.0
1160,33.789,0.0
1161,33.725,0.0
1162,33.531,0.0
1163,33.531,0.0
1164,33.435,0.0
1165,33.145,0.0
1166,33.145,0.0
1167,32.983,0.0
1168,32.822,0.0
1169,32.854,0.0
1170,32.564,0.0
1171,32.5,0.0
1172,32.5,0.0
1173,32.5,0.0
1174,32.242,0.0
1175,32.178,0.0
1176,32.113,0.0
1177,31.855,0.0
1178,31.855,0.0
1179,31.823,0.0
1180,31.662,0.0
1181,31.437,0.0
1182,32.113,1.0
1183,31.823,1.0
1184,31.791,1.0
1185,31.727,1.0
1186,31.565,1.0
1187,31.533,1.0
1188,31.469,1.0
1189,31.533,1.0
1190,31.501,1.0
1191,31.146,1.0
1192,31.437,1.0
1193,31.437,1.0
1194,31.275,1.0
1195,31.308,1.0
1196,31.437,1.0
1197,31.34,1.0
1198,31.404,1.0
1199,31.372,1.0
1200,31.275,1.0
1201,31.179,1.0
1202,31.34,1.0
1203,31.211,1.0
1204,31.437,1.0
1205,31.533,1.0
1206,31.404,1.0
1207,31.598,1.0
1208,31.662,1.0
1209,31.759,1.0
1210,31.855,1.0
1211,32.049,1.0
1212,31.984,1.0
1213,32.081,1.0
1214,32.178,1.0
1215,32.339,1.0
1216,32.436,1.0
1217,32.726,1.0
1218,32.564,1.0
1219,32.854,1.0
1220,33.048,1.0
1221,33.016,1.0
1222,33.209,1.0
1223,33.37,1.0
1224,33.531,1.0
1225,33.725,1.0
1226,34.047,1.0
1227,34.176,1.0
1228,34.24,1.0
1229,34.401,1.0
1230,34.563,1.0
1231,34.691,1.0
1232,35.046,1.0
1233,35.078,1.0
1234,35.239,1.0
1235,35.433,1.0
1236,35.594,1.0
1237,35.884,1.0
1238,35.916,1.0
1239,36.238,1.0
1240,36.528,1.0
1241,36.786,1.0
1242,36.786,1.0
1243,37.173,1.0
1244,37.076,1.0
1245,37.463,1.0
1246,37.527,1.0
1247,37.753,1.0
1248,37.85,1.0
1249,38.011,1.0
1250,38.107,1.0
1251,38.43,1.0
1252,38.623,1.0
1253,38.688,1.0
1254,38.945,1.0
1255,39.3,1.0
1256,39.493,1.0
1257,39.558,1.0
1258,39.783,1.0
1259,39.977,1.0
1260,40.041,1.0
1261,40.234,1.0
1262,40.589,1.0
1263,40.847,1.0
1264,41.04,1.0
1265,41.104,1.0
1266,41.362,1.0
1267,41.427,1.0
1268,41.523,1.0
1269,41.781,1.0
1270,42.071,1.0
1271,42.039,1.0
1272,42.394,1.0
1273,42.394,1.0
1274,42.587,1.0
1275,42.587,1.0
1276,42.748,1.0
1277,42.974,1.0
1278,42.974,1.0
1279,43.264,1.0
1280,43.36,1.0
1281,43.457,1.0
1282,43.521,1.0
1283,43.908,1.0
1284,43.908,1.0
1285,44.102,1.0
1286,44.424,1.0
1287,44.424,1.0
1288,44.23,1.0
1289,44.682,1.0
1290,44.875,1.0
1291,44.843,1.0
1292,45.358,1.0
1293,45.326,1.0
1294,45.294,1.0
1295,45.616,1.0
1296,45.745,1.0
1297,45.81,1.0
1298,45.874,1.0
1299,46.1,1.0
1300,46.229,1.0
1301,46.325,1.0
1302,46.293,1.0
1303,46.454,1.0
1304,46.647,1.0
1305,46.454,1.0
1306,46.776,1.0
1307,46.905,1.0
1308,47.131,1.0
1309,47.292,1.0
1310,47.389,1.0
1311,47.356,1.0
1312,47.453,1.0
1313,47.55,1.0
1314,47.614,1.0
1315,47.775,1.0
1316,47.743,1.0
1317,47.937,1.0
1318,47.937,1.0
1319,48.13,1.0
1320,48.194,1.0
1321,48.227,1.0
1322,48.452,1.0
1323,48.613,1.0
1324,48.742,1.0
1325,48.774,1.0
1326,48.774,1.0
1327,49.129,1.0
1328,49.226,1.0
1329,49.193,1.0
1330,49.451,1.0
1331,49.419,1.0
1332,49.709,1.0
1333,49.58,1.0
1334,49.741,1.0
1335,49.773,1.0
1336,49.902,1.0
1337,50.096,1.0
1338,50.321,1.0
1339,50.354,1.0
1340,50.354,1.0
1341,50.482,1.0
